filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
215 Brookdale Dr Huntingdon Valley PA 19006.jpg,215 Brookdale Dr,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/215+Brookdale+Dr,+Huntingdon+Valley,+PA+19006/@40.1390762,-75.0265955,3a,75y,32.47h,90t/data=!3m7!1e1!3m5!1s0tlUPGQKFuSeAVZebXQZYg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D0tlUPGQKFuSeAVZebXQZYg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D32.465286%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b2777f33bc51:0xc4611093c873ebc8!8m2!3d40.1393007!4d-75.026409!10e5"
215 Edge Hill Rd Glenside PA 19038.jpg,215 Edge Hill Rd,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/215+Edge+Hill+Rd,+Glenside,+PA+19038/@40.109694,-75.1604339,3a,75y,159.95h,90t/data=!3m7!1e1!3m5!1sCmuk5AqGA9wM4FPmRQ0Fnw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DCmuk5AqGA9wM4FPmRQ0Fnw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D159.9536%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba79ff8560e7:0x894bd929330cfd0b!8m2!3d40.109511!4d-75.1603524"
215 Glendalough Rd Glenside PA 19038.jpg,215 Glendalough Rd,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Glendalough+Rd,+Glenside,+PA+19038/@40.0941684,-75.2066261,3a,75y,231.47h,90t/data=!3m7!1e1!3m5!1sd3zMNYjDN5YkGWsP6mrXJg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dd3zMNYjDN5YkGWsP6mrXJg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D231.47472%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbd18d020605:0x5790ff80327fe08e!8m2!3d40.0943235!4d-75.2068388"
215 Harrison Ave Glenside PA 19038.jpg,215 Harrison Ave,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/215+Harrison+Ave,+Glenside,+PA+19038/@40.0982214,-75.1576176,3a,75y,117.77h,90t/data=!3m7!1e1!3m5!1soDjZYaILFPdMWcAcknBlwA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DoDjZYaILFPdMWcAcknBlwA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D117.77092%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba0ad8f295c7:0x64d058b3d7479ce3!8m2!3d40.0981136!4d-75.1573427"
215 Heatherwood Rd Glenside PA 19038.jpg,215 Heatherwood Rd,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Heatherwood+Rd,+Glenside,+PA+19038/@40.0962171,-75.2086291,3a,75y,231.56h,90t/data=!3m7!1e1!3m5!1swS9GIHiVs5lGHHAStVNVwQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DwS9GIHiVs5lGHHAStVNVwQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D231.56339%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbce23227973:0x2925ff74173222b9!8m2!3d40.0963529!4d-75.20881"
215 Larrimore Ln Glenside PA 19038.jpg,215 Larrimore Ln,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Larrimore+Ln,+Glenside,+PA+19038/@40.0948346,-75.2073281,3a,75y,231.76h,90t/data=!3m7!1e1!3m5!1sVBdzLEPIifeWKz4_HBzlJA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DVBdzLEPIifeWKz4_HBzlJA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D231.75838%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbd1f960f123:0xbb2e7db7f3eb34e!8m2!3d40.0949809!4d-75.2075026"
215 Madison Rd Huntingdon Valley PA 19006.jpg,215 Madison Rd,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/215+Madison+Rd,+Huntingdon+Valley,+PA+19006/@40.11027,-75.0616533,3a,75y,39.85h,90t/data=!3m7!1e1!3m5!1sRj405X6-rIC6sztzmCFNXw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DRj405X6-rIC6sztzmCFNXw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D39.852604%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b180a159e0f7:0xa8d141589ba59219!8m2!3d40.1104707!4d-75.0614341!10e5"
215 N Hills Ave Glenside PA 19038.jpg,215 N Hills Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+N+Hills+Ave,+Glenside,+PA+19038/@40.1144031,-75.168444,3a,75y,133.5h,90t/data=!3m7!1e1!3m5!1sXdi4LPLKEQYDVSiw9mvSgQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DXdi4LPLKEQYDVSiw9mvSgQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D133.49802%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba6492ef7c95:0xfb990afd422efbd5!8m2!3d40.1142605!4d-75.1682413"
215 Paxson Ave Glenside PA 19038.jpg,215 Paxson Ave,Glenside,PA,19038,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/215+Paxson+Ave,+Glenside,+PA+19038/@40.0993972,-75.1486315,3a,75y,15.83h,90t/data=!3m7!1e1!3m5!1s4jW28dWDp07qOSx44H1gzw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D4jW28dWDp07qOSx44H1gzw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D15.831867%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b098cd1db46b:0x9470b8f1f03344f0!8m2!3d40.0995157!4d-75.1485867"
215 Red Lion Rd Huntingdon Valley PA 19006.jpg,215 Red Lion Rd,Huntingdon Valley,PA,19006,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/215+Red+Lion+Rd,+Huntingdon+Valley,+PA+19006/@40.116238,-75.0541216,3a,75y,65.9h,90t/data=!3m7!1e1!3m5!1soKlz-MBzr9tnp5-hvVJC2g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DoKlz-MBzr9tnp5-hvVJC2g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D65.895294%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b2259366e3c5:0xa9f0b34c3743a285!8m2!3d40.1163685!4d-75.0537452!10e5"
